a: 5653518463605408801, b: 15642383586495772415, c: 4490884459036927980
a: 14316481286308590977, b: 14580411432902307553, c: 4309655703257619847
a: 5486361212608660470, b: 16034479040189311725, c: 9497327980463932154
a: 18102714874711042880, b: 9298456187993299273, c: 7243154407237576978
a: 794789979402953987, b: 9910088899591665962, c: 7014204789046551188
a: 14691024686379656854, b: 246225044653117249, c: 12705906148458018731
a: 18305566017620932385, b: 7337261634385875032, c: 11160769710146708754
a: 8248202777410767092, b: 6120260242054111471, c: 17914698175275451265
a: 3751833642925307538, b: 16076377989091608365, c: 9463060730875772022
a: 6898054441432659317, b: 11944892375347833585, c: 71211001090014583
a: 11972814074448346388, b: 2916618228081754700, c: 138850860165938596
a: 2085217382396336561, b: 13349215871148560135, c: 11310888046087241676
a: 10340014699446785005, b: 11381451049593019537, c: 6996371501581218814
a: 15952384079074431851, b: 5287420073928700851, c: 16288140980833015227
a: 2177517065465973606, b: 2775914185588732189, c: 1281449249664888233
a: 14069017784669514210, b: 17628894673944848358, c: 3981835992658407210
a: 2779240872581267042, b: 148083146839733833, c: 14503085846385141989
a: 14753479928135871122, b: 12597425219671094016, c: 5446354630912349238
a: 7317221259824909556, b: 10408312247499696059, c: 17948031898057954560
a: 9693428083099238845, b: 11616474522584043614, c: 17679477731364286806
a: 1261332976238528403, b: 14926669350737492889, c: 3860314592156954527
a: 18125692943479716839, b: 12431367723312007073, c: 4634786146246678597
a: 12765986171080347697, b: 13989182500945885016, c: 16380895831324481599
a: 15667056102417270852, b: 17134296261389513039, c: 7204806993140462425
a: 6232704072152788152, b: 11106951299485824625, c: 7841484069144312201
a: 7637212902956092527, b: 7645354211583461626, c: 3514313847835665932
a: 7298155833264392592, b: 7382764517261255904, c: 17934082935766577272
a: 5797153162429057287, b: 3799765295535727110, c: 7962747651342147768
a: 16028918095413759648, b: 8673469851809639592, c: 8012791049660207320
a: 4005640938568701119, b: 6699621695845787035, c: 7165147055886498822
a: 6120614234607763022, b: 515906345983113160, c: 9389668580216700421
a: 6875066152768543743, b: 3263986861846996560, c: 2634124032885486732
a: 8510469495087732197, b: 15175809031082851376, c: 12562776949306788524
a: 789080598063161522, b: 10343482151011988261, c: 10461499575880339743
a: 16015393545648164461, b: 3672673313805244551, c: 5915071268911609563
a: 14820392187635412202, b: 13287165166793233813, c: 5517000172036609095
a: 14919511047059809315, b: 11723670749215376803, c: 5355901002515111904
a: 11979864356947467674, b: 9965491353894688183, c: 16814155577599207479
a: 9775130661474269846, b: 3357406184966340278, c: 13093234457491648763
a: 3795044643631968631, b: 5870822126401150968, c: 8504406638005643347
a: 4425996352127775123, b: 8827364623320006537, c: 536915413279351438
a: 1906171371965176235, b: 5908050189115478809, c: 10145206624791793036
a: 958381688141742678, b: 4082007174279392503, c: 1120322078705243060
a: 16857015292161519010, b: 15709848103297185240, c: 863008863885029141
a: 5184029627778120440, b: 16324210330438827081, c: 13323543309552070934
a: 10948400019087676980, b: 2552829282067858513, c: 16064542195949385680
a: 4397803832172865063, b: 7963427477167292099, c: 10991702362470246898
a: 12215578336079244621, b: 8905255017779654487, c: 12476187033347458202
a: 12184600686098657774, b: 14356574959381394951, c: 1171309312510722218
a: 12545099701541578134, b: 5258567661274881140, c: 7902309921529367290
